Var1,Var2,Var3
36.45,-120.05,0
36.45,-119.95,11296568.7581988
36.45,-119.85,5337939.08354447
36.45,-119.75,0
36.45,-119.65,0
36.45,-119.55,0
36.45,-119.45,0
36.45,-119.35,0
36.45,-119.25,0
36.45,-119.15,0
36.45,-119.05,0
36.45,-118.95,0
36.45,-118.85,0
36.45,-118.75,0
36.45,-118.65,0
36.45,-118.55,0
36.45,-118.45,0
36.45,-118.35,0
36.45,-118.25,0
36.45,-118.15,0
36.45,-118.05,0
36.45,-117.95,0
36.45,-117.85,0
36.45,-117.75,0
36.45,-117.65,0
36.45,-117.55,0
36.45,-117.45,0
36.45,-117.35,0
36.45,-117.25,0
36.45,-117.15,0
36.45,-117.05,0
36.45,-116.95,0
36.55,-122.95,0
36.55,-122.85,0
36.55,-122.75,0
36.55,-122.65,0
36.55,-122.55,0
36.55,-122.45,0
36.55,-122.35,0
36.55,-122.25,0
36.55,-122.15,0
36.55,-122.05,0
36.55,-121.95,0
36.55,-121.85,0
36.55,-121.75,0
36.55,-121.65,0
36.55,-121.55,0
36.55,-121.45,0
36.55,-121.35,0
36.55,-121.25,0
36.55,-121.15,0
36.55,-121.05,0
36.55,-120.95,0
36.55,-120.85,0
36.55,-120.75,0
36.55,-120.65,0
36.55,-120.55,0
36.55,-120.45,0
36.55,-120.35,0
36.55,-120.25,0
36.55,-120.15,0
36.55,-120.05,0
36.55,-119.95,85870829.0815259
36.55,-119.85,114780266.546918
36.55,-119.75,77540991.1677688
36.55,-119.65,30379408.8619379
36.55,-119.55,734985.69827269
36.55,-119.45,0
36.55,-119.35,0
36.55,-119.25,0
36.55,-119.15,0
36.55,-119.05,0
36.55,-118.95,0
36.55,-118.85,0
36.55,-118.75,0
36.55,-118.65,0
36.55,-118.55,0
36.55,-118.45,0
36.55,-118.35,0
36.55,-118.25,0
36.55,-118.15,0
36.55,-118.05,0
36.55,-117.95,0
36.55,-117.85,0
36.55,-117.75,0
36.55,-117.65,0
36.55,-117.55,0
36.55,-117.45,0
36.55,-117.35,0
36.55,-117.25,0
36.55,-117.15,0
36.55,-117.05,0
36.55,-116.95,0
36.65,-122.95,0
36.65,-122.85,0
36.65,-122.75,0
36.65,-122.65,0
36.65,-122.55,0
36.65,-122.45,0
36.65,-122.35,0
36.65,-122.25,0
36.65,-122.15,0
36.65,-122.05,0
36.65,-121.95,0
36.65,-121.85,0
36.65,-121.75,0
36.65,-121.65,0
36.65,-121.55,0
36.65,-121.45,0
36.65,-121.35,0
36.65,-121.25,0
36.65,-121.15,0
36.65,-121.05,0
36.65,-120.95,0
36.65,-120.85,0
36.65,-120.75,0
36.65,-120.65,0
36.65,-120.55,0
36.65,-120.45,0
36.65,-120.35,0
36.65,-120.25,0
36.65,-120.15,0
36.65,-120.05,23879700.2373182
36.65,-119.95,123072301.223133
36.65,-119.85,120010801.192706
36.65,-119.75,123439681.226784
36.65,-119.65,120010801.192706
36.65,-119.55,107519881.068568
36.65,-119.45,60127860.5975703
36.65,-119.35,16164720.1606461
36.65,-119.25,0
36.65,-119.15,0
36.65,-119.05,0
36.65,-118.95,0
36.65,-118.85,0
36.65,-118.75,0
36.65,-118.65,0
36.65,-118.55,0
36.65,-118.45,0
36.65,-118.35,0
36.65,-118.25,0
36.65,-118.15,0
36.65,-118.05,0
36.65,-117.95,0
36.65,-117.85,0
36.65,-117.75,0
36.65,-117.65,0
36.65,-117.55,0
36.65,-117.45,0
36.65,-117.35,0
36.65,-117.25,0
36.65,-117.15,0
36.65,-117.05,0
36.65,-116.95,0
36.75,-122.95,0
36.75,-122.85,0
36.75,-122.75,0
36.75,-122.65,0
36.75,-122.55,0
36.75,-122.45,0
36.75,-122.35,0
36.75,-122.25,0
36.75,-122.15,0
36.75,-122.05,0
36.75,-121.95,0
36.75,-121.85,0
36.75,-121.75,0
36.75,-121.65,0
36.75,-121.55,0
36.75,-121.45,0
36.75,-121.35,0
36.75,-121.25,0
36.75,-121.15,0
36.75,-121.05,0
36.75,-120.95,0
36.75,-120.85,0
36.75,-120.75,0
36.75,-120.65,0
36.75,-120.55,0
36.75,-120.45,0
36.75,-120.35,0
36.75,-120.25,0
36.75,-120.15,0
36.75,-120.05,84593610.9981193
36.75,-119.95,123401389.126087
36.75,-119.85,119973572.761473
36.75,-119.75,123401389.126087
36.75,-119.65,119973572.761473
36.75,-119.55,123401389.126087
36.75,-119.45,119973572.761473
36.75,-119.35,122789279.060946
36.75,-119.25,89857757.558083
36.75,-119.15,46030676.8962387
36.75,-119.05,5386568.5729641
36.75,-118.95,0
36.75,-118.85,0
36.75,-118.75,0
36.75,-118.65,0
36.75,-118.55,0
36.75,-118.45,0
36.75,-118.35,0
36.75,-118.25,0
36.75,-118.15,0
36.75,-118.05,0
36.75,-117.95,0
36.75,-117.85,0
36.75,-117.75,0
36.75,-117.65,0
36.75,-117.55,0
36.75,-117.45,0
