ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Tota,Pct Avg to Date
DUNC1,DUNSMUIR,0,6.92,17.75,6.48,21.68,2.35,3.39,1.06,0.24,0,0.06,0.02,59.95,97
DWNC1,DOWNIEVILLE,0.66,4.04,19.27,7.19,14.63,2.85,2.31,1.17,0.14,0,0,0.55,52.81,84
FOLC1,FOLSOM DAM,0,1.43,M,M,M,M,M,M,M,M,M,M,M,
FSTC1,FORESTHILL RS,0,3.95,13.36,4.54,8.75,1.9,0.92,0.48,0,0,0,0.57,34.47,66
GEOC1,GEORGETOWN RS,0.04,4.61,14.11,5.15,10.91,2.05,1.06,0.29,0,0,0,0.05,38.27,71
GLRC1,GOLD RUN 2SW,0.4,3.8,14.41,5.71,11.39,1.72,1.27,0.77,0,0,0,0.28,39.75,72
GRAC1,GRASS VALLEY NO. 2,0.24,4.07,15.41,6.57,10.39,1.85,1.13,0.28,0,0,0,0.41,40.35,76
GREC1,GREENVILLE RS,0,1.42,11.25,3.92,13.17,1.2,0.89,0.95,0.13,0.38,0,0.52,33.83,85
HATC1,HAT CREEK,0,2.1,4.95,1.44,5.64,0.53,0.64,2.88,0.03,0,0,0.27,18.48,92
HLEC1,HARRY L ENGLEBRIGHT DAM,0.74,3.99,10.55,3.11,8.34,1.48,0.39,0.21,0,0,0,0.29,29.1,83
HRRC1,HARRISON GULCH RS,0.15,10.49,M,5.87,9.81,2.02,1.72,0.38,0.17,0,0,M,M,
LSPC1,LAKE SPAULDING,0.69,5.14,25.12,7.76,18.29,2,2.96,1.66,0.02,0,0,0.39,64.03,86
MCLC1,MCCLOUD,0,8.4,12.92,6.03,13.82,1.94,2.2,0.79,0.1,0,0.14,0.01,46.35,94
MHS,MT. SHASTA,0.05,7.24,10.65,5.44,14.58,1.8,2.08,1.52,0.09,0.02,0.4,0,43.87,110
MINC1,MINERAL,0,4.99,14.84,5.43,15.7,1.86,1.8,2.3,0.37,0.27,0,1,48.56,86
MNZC1,MANZANITA LAKE,0,2.62,8.92,3.78,7.97,2.1,0.96,M,0.18,0.56,0,1.24,M,
NCOC1,NICOLAUS,0,2.09,4.5,2.28,5.05,0.99,0.11,0.04,0,0,0,0,15.06,76
NVDC1,NEVADA CITY,0.27,5.14,19.58,7.53,14.06,2.6,1.34,1.02,0.22,0.15,0,0.33,52.24,88
ONDC1,ORLAND,0.19,3.61,8.12,2.76,6.74,1.4,0.21,0.05,0,0,0,0,23.08,106
OROC1,OROVILLE,0.25,3.52,9.59,4.78,6.96,1.88,0.29,0.85,0,0,0,0.5,28.62,100
PCHC1,PACIFIC HOUSE,0.07,3.63,14.46,4.78,11.33,1.97,0.75,0.4,0,0,0,0.43,37.82,73
PLCC1,PLACERVILLE,0.02,3.36,8.74,3.1,8.33,1.6,0.5,0.14,0,0,0,0.53,26.32,68
PLUC1,PLUMAS EUREKA SP,1.1,3.7,19,3.7,14.5,1.5,2.5,1.4,0.4,0,0.1,0.5,48.4,75
PRAC1,PORTOLA,0,1.34,7.02,2.89,5.32,0.56,0.05,0.48,0.25,0,0,0.22,18.13,78
PRDC1,PARADISE,0.09,6.01,19.31,6.69,15.28,2.45,1,0.53,0,0,0,0.07,51.43,92
PRPC1,PIT RIVER PH5,0,9.34,24.26,9.09,24.03,3.27,6.25,3.12,0.16,0,0,0.07,79.59,105
PTRC1,PIT RIVER PH1,0,2.32,4.99,2.75,5.27,0.46,0.54,3.56,0.29,0,0,0.17,20.35,108
QCYC1,QUINCY,0.11,3.67,12.37,4.85,13.74,1.43,0.82,1.91,0.44,0.01,0,0.33,39.68,104
RBL,RED BLUFF AP,0.03,3.32,8.37,2.69,7.61,1.47,0.23,0.97,0,0,0,0.1,24.79,103
ROMC1,ROUND MOUNTAIN,0,7.27,19.07,6,13.75,3.26,3.2,2.79,0.08,0,0,0.45,55.87,86
SAC,SACRAMENTO AP,0.04,1.53,4.23,2.15,5.01,0.48,0.09,0.17,0,0,0,0.17,13.87,77
SERC1,SIERRAVILLE,0.03,1.45,6.76,1.63,6.45,1.13,0.08,0.59,0.7,0,0.01,0.31,19.14,73
SHDC1,SHASTA DAM,0.27,10.75,21.28,7.66,19.4,4.24,2.91,0.87,0.7,0,0,0.09,68.17,108
SLPC1,SLY PARK,0.02,2.6,12.93,4.5,6.99,2,0.64,0.24,0.08,0,0,0.5,30.5,NA
SMTC1,SACRAMENTO 5 ESE,0.27,1.64,4.35,2.07,4.84,0.49,0.11,0.08,0,0,0,1.93,15.78,79
SODC1,SODA SPRINGS,1.02,3.46,20.08,7.13,11.61,1.46,2.2,1.77,0.28,0.08,0,0.43,49.52,NA
STOC1,STONY GORGE,0.17,3.01,9,2.68,6.69,1.38,0.27,0.08,0,0,0,0.04,23.32,109
STYC1,STRAWBERRY VALLEY,0.45,7.02,27.57,9.74,20.34,3.27,2.77,1.12,0.03,0.01,0,0.57,72.89,90
TWLC1,CAPLES LAKE,0,3.11,12.29,5,7.89,1.58,0.03,2.05,M,M,M,M,M,
VOLC1,VOLTA PH,0,4.14,10.31,3.53,9.37,1.68,1.43,2.56,0.02,0,0,0.45,33.49,95
VTNC1,VINTON,0,0.68,3.21,0.91,2.47,0.4,0,1.03,0.58,0,0.09,0.18,9.55,67
WDDC1,WOODLAND,0,0.77,5.52,2.53,6.38,0.77,0.14,0.13,0,0,0,0.01,16.25,78
WSKC1,WHISKEYTOWN RES,0,8.56,12.48,3.62,23.06,3.92,4.43,0.46,1,0,0.02,0.11,57.66,91
ABYC1,AUBERRY,0.01,1.27,5.38,2.21,5.81,0.96,0.19,0.24,0,0,0,0.32,16.39,63
ARNC1,CALAVERAS BIG TREES,0.04,4.46,17.25,3.97,10.57,1.95,0.58,0.59,0,0,0,M,M,
BCRC1,BIG CREEK PH #1,0.14,2.36,6.16,1.62,6.06,1,0.78,0.65,0.01,0,0,0.21,18.99,NA
CHVC1,CHERRY VALLEY,0,4.67,13.9,4.47,9.68,1.72,0.52,0.82,0,0,0,0.12,35.9,75
CMPC1,CAMP PARDEE,0,1.82,6.26,2.08,5.73,0.93,0.18,0.22,0,0,0,0.52,17.74,77
COAC1,COARSEGOLD 1 SW,0.06,1.03,7.02,2.53,5.63,1.12,0.25,0.31,0,M,0,0.15,M,
EXQC1,EXCHEQUER DAM,0,1.78,4.82,1.38,4.1,1.1,0,0.33,0,0,0,0.02,13.53,68
FDDC1,FIDDLETOWN DEXTER RANCH,0,2.94,10.24,3.7,7.45,1.53,0.41,0.13,0,0,0,0.37,26.77,72
FLOC1,FLORENCE LAKE,0.11,1.21,5.11,2.46,6.97,0.83,0.37,0.66,0.89,M,M,0.1,M,
FRAC1,FRIANT GOVERNMENT CAMP,0.12,1.12,1.96,1.49,2.74,1.31,0.04,0.8,0,0,0,0.02,9.6,65
GRVC1,GROVELAND RS,0,4.24,10.87,3.56,8.19,1.79,0.1,0.75,0,0,0,0.19,29.69,79
HETC1,HETCH HETCHY,0.01,3.37,9.66,2.54,8.86,1.84,0.59,0.18,0.06,0,0,0.13,27.24,75
HNTC1,HUNTINGTON LAKE,0.14,0.96,12.78,3.86,8.69,1.53,1.53,0.76,0,M,M,0.21,M,
LOSC1,LOS BANOS,0.04,0.92,2.49,1.23,2.72,0.39,0.05,0,0,0,0,0.07,7.91,79
MATC1,MATHER,0.17,3.23,9.09,2.75,8.09,1.58,0.3,0.54,0.23,0,0,0.24,26.22,75
MCEC1,MERCED,0,0.8,3.24,1,3.66,0.72,0,0.22,0,0,0,0.13,9.77,78
MDRC1,MADERA,0,0.28,2.88,0.95,2.2,0.56,0,0,0,M,0,0,M,
MOD,MODESTO AP,0.04,0.72,3.32,1.02,2.93,0.33,0.03,0.16,0,0,0,0.2,8.75,67
MRIC1,MARIPOSA RS,0,1.36,6.95,2.22,7.43,2.23,0.12,0.32,0,0,0,M,M,
NMDC1,NEW MELONES DAM HQ,0,2.21,8.02,2.81,5.61,1.03,0.08,0.23,0.01,0,0,0.19,20.19,NA
NOFC1,NORTH FORK RS,0.02,1.99,7.24,3.28,8.09,1.35,0.9,0.36,0,0,0,0.04,23.27,68
PANC1,PANOCHE 2W,0.06,0.25,2.54,1.47,3.94,0.17,0,0,0,0,0,0.04,8.47,80
SCKC1,STOCKTON FIRE STA 4,0,2.23,5.32,3.2,4.47,0.44,0.53,0.23,0,0,0,0.2,16.62,100
SLDC1,LOS BANOS,0.08,0.64,3.36,0.89,2.42,0.31,0.11,0.11,0,0,0,0.07,7.99,76
SONC1,SONORA,0,2.26,9.09,2.64,6.1,1.25,0.09,0.35,0,0,0,0.31,22.09,67
SPGC1,SALT SPRINGS PH,0.47,3.36,14.63,4.01,9.78,1.68,0.76,0.83,0.06,0.01,0,0.2,35.79,77
TIGC1,TIGER CREEK PH,0.31,3.27,13.05,4.51,9.03,1.75,0.39,0.42,0.05,0.45,0.06,0.41,33.7,73
TRAC1,TRACY CARBONA,0,1.57,1.95,0.84,2.65,1.51,0.17,0.1,0,0,0,0.33,9.12,86
WSTC1,WEST POINT,0,2.96,14.24,5.74,7.3,0.87,0.32,0.48,0,0,0,0.38,32.29,88
YNPC1,SOUTH ENTRANCE YOSEMITE,0.03,3.54,11.75,3.49,9.31,1.55,0.69,0.29,0.87,0,0,0.14,31.66,75
YPQC1,YOSEMITE PARK HEADQUARTER,0.05,3,10.14,2.99,8.46,1.43,0.54,1.05,0.07,0.07,0,0.25,28.05,74
