ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Tota,Pct Avg to Date
SERC1,SIERRAVILLE,0,6.1,7.17,1.13,1.12,2.43,3.99,0.55,1.85,0.51,1.28,0.01,26.14,99
SHDC1,SHASTA DAM,0,5.22,37.83,6.79,2.99,7.37,11.98,1.23,0,0.1,1.47,0.15,75.13,119
SLPC1,SLY PARK,0,4.08,12.6,1.88,4.19,4.19,12.04,2.82,0.2,0,0.79,0,42.79,NA
SMTC1,SACRAMENTO 5 ESE,0,2,5.85,1.13,1.08,1.95,2.75,1.23,0,0,0.34,0,16.33,82
SODC1,SODA SPRINGS,0.04,9.22,20.05,3.97,3.95,5.56,13.9,3.26,0.16,0.12,2.28,0,62.51,NA
STOC1,STONY GORGE,0,1.78,10.93,3.16,1.58,1.6,2.41,2.29,0,0.1,0.68,0.1,24.63,116
STYC1,STRAWBERRY VALLEY,0.02,10.5,37.98,9.95,4.74,9.14,14.81,4.28,0.01,0,2.39,0,93.82,116
TWLC1,CAPLES LAKE,0.07,4.06,11.66,1.48,2.78,1.6,9.45,2.47,M,M,M,M,M,
VOLC1,VOLTA PH,0,2.88,11.31,7.48,3.26,5.15,6.61,2.06,0.08,0.01,0.53,0.05,39.42,112
VTNC1,VINTON,0.13,2.57,3.65,1.15,0.63,1.12,1.8,0.32,0.32,0.17,1.32,0.37,13.55,96
WDDC1,WOODLAND,0,2.37,8.93,2.32,1.9,2.27,3.52,0.75,0,0,1.02,0,23.08,111
WSKC1,WHISKEYTOWN RES,0,6.74,34.29,8.67,2.61,6.9,12.7,1.66,0,0.03,1,0.06,74.66,118
ABYC1,AUBERRY,0,4.32,6.07,0.5,2.7,1.49,3.64,1.84,0,0.02,0.38,0,20.96,80
ARNC1,CALAVERAS BIG TREES,0,6.96,14.72,1.71,4.34,4.45,13.45,2.95,0,0,1.32,0,49.9,90
BCRC1,BIG CREEK PH #1,0.23,7.05,8.34,0.46,4.06,3.28,7.65,2.85,0,0.8,0.77,0.1,35.59,NA
CHVC1,CHERRY VALLEY,0,9.7,13.87,1.34,2.48,3.98,10.29,3.11,0,0.16,1.34,0,46.27,97
CMPC1,CAMP PARDEE,0,1.68,5.44,0.71,1.4,1.53,5,0.59,0,0,0.2,0.02,16.57,72
COAC1,COARSEGOLD 1 SW,0,4.7,6.98,M,3.41,1.02,3.14,2.19,0,0,M,0,M,
EXQC1,EXCHEQUER DAM,0,2.86,4.95,0.86,1.58,1.66,4.4,1.82,0,0.03,0.46,0.11,18.73,94
FDDC1,FIDDLETOWN DEXTER RANCH,0,4.03,10.76,1.07,2.67,3.78,9.47,1.51,0,0,1,0,34.29,93
FLOC1,FLORENCE LAKE,0.02,6.82,10.95,0.29,4.9,3.2,3.7,3.46,0,2.17,0.62,0.62,36.75,148
FRAC1,FRIANT GOVERNMENT CAMP,0,1.94,0.99,0.66,1.9,0.88,2.44,1.1,0,0,0.01,0,9.92,67
GRVC1,GROVELAND RS,0,5.84,10.33,1.13,2.3,2.85,6.33,1.95,0,0.23,2.22,0,33.18,88
HETC1,HETCH HETCHY,0,6.17,9.14,0.94,1.64,2.87,10.27,3.13,0,0.47,0.96,0.32,35.91,98
HNTC1,HUNTINGTON LAKE,0.31,9.67,10.95,0.52,4.78,2.5,8,3.46,0,0.88,0.77,0.1,41.94,93
LOSC1,LOS BANOS,0,1.17,3.47,0.58,1.16,0.7,0.81,0.47,0,0,0.08,0,8.44,85
MATC1,MATHER,0.67,5.7,9.79,0.77,2.48,2.96,10.28,2.83,0,0.61,0.63,0,36.72,105
MCEC1,MERCED,0,1.87,3.69,0.8,1.03,0.89,1.18,0.94,0,0,0.11,0,10.51,84
MDRC1,MADERA,0,2.9,2.85,0.51,1.51,0.46,1.44,1.08,0,0,0.06,0,10.81,91
MOD,MODESTO AP,0,2.09,3.99,0.57,0.77,1.4,1.42,0.28,0,0,0.1,0,10.62,82
MRIC1,MARIPOSA RS,0,M,M,1.35,2.5,2.1,5.9,1.56,0,0.05,0.62,0,M,
NMDC1,NEW MELONES DAM HQ,0,4.08,8.44,1.16,1.91,1.85,5.87,0.89,0,0,0.74,0,24.94,NA
NOFC1,NORTH FORK RS,0.04,7.65,9.67,0.71,2.99,3.08,5.91,2.55,0,0.05,0.36,0,33.01,97
PANC1,PANOCHE 2W,0,1.76,4.8,0.34,1.44,0.98,1.17,0.83,0,0,0,0,11.32,107
SCKC1,STOCKTON FIRE STA 4,0,2.58,7.52,0.32,1.26,1.52,2.2,0.39,0,0,0.3,0,16.09,97
SLDC1,LOS BANOS,0,2.04,2.96,0.67,1.41,0.97,0.58,0.7,0,0,0.35,0,9.68,92
SONC1,SONORA,0,6.4,9.86,1.23,2.21,2.37,6.57,1.41,0,0.11,1.65,0,31.81,97
SPGC1,SALT SPRINGS PH,0.09,7.43,13.37,1.35,3.43,3.56,12.34,3.32,0.01,0.58,0.99,0.48,46.95,102
TIGC1,TIGER CREEK PH,0,5.56,13.52,1.57,3.39,3.39,10.25,2.18,0,0.36,0.23,0,40.45,87
TRAC1,TRACY CARBONA,0,1.24,3.72,0.5,0.69,0.84,1.33,0.31,0,0,0.57,0,9.2,87
WSTC1,WEST POINT,0,4.4,13.05,1.55,2.94,4.3,9.46,1.33,0,0,0.78,0,37.81,104
YNPC1,SOUTH ENTRANCE YOSEMITE,0.03,11.52,7.54,1.04,3.63,4.62,9.91,2.86,0,0.21,1.32,0.02,42.7,101
YPQC1,YOSEMITE PARK HEADQUARTER,0.23,7.63,11.85,0.91,2.66,2.83,7.29,2.72,0,1.34,0.9,0.12,38.48,102
